iter	MultiClass
377	1.715827242
378	1.712270154
379	1.707697571
380	1.705880297
381	1.702691266
382	1.699300539
383	1.695799479
384	1.692627073
385	1.689365455
386	1.684363202
387	1.680763915
388	1.678225728
389	1.675460442
390	1.673888633
391	1.670033977
392	1.667203928
393	1.662683105
394	1.660374081
395	1.656712674
396	1.653390385
397	1.650126189
398	1.647219286
399	1.643764234
400	1.638524674
401	1.636608052
402	1.632035305
403	1.628454036
404	1.62544136
405	1.622328316
406	1.618804921
407	1.616737167
408	1.61433383
409	1.610967044
410	1.60768904
411	1.603130387
412	1.60003104
413	1.596726683
414	1.593191458
415	1.591148857
416	1.587862126
417	1.585241122
418	1.582564483
419	1.577996379
420	1.576699075
421	1.573498882
422	1.570975823
423	1.568153421
424	1.565165778
425	1.561809763
426	1.557561094
427	1.554587572
428	1.552607924
429	1.549518243
430	1.547118843
431	1.544803678
432	1.541484683
433	1.539065675
434	1.534942448
435	1.532014288
436	1.529003643
437	1.527764645
438	1.525540729
439	1.521780203
440	1.518252987
441	1.516693673
442	1.514224807
443	1.511350196
444	1.50853473
445	1.505717199
446	1.502807059
447	1.500880027
448	1.496616491
449	1.492827896
450	1.488491247
451	1.484402394
452	1.481835602
453	1.479416619
454	1.476826738
455	1.474093846
456	1.471595061
457	1.468772273
458	1.465567943
459	1.462932743
460	1.459402766
461	1.455718367
462	1.452170287
463	1.449748238
464	1.445705074
465	1.441480971
466	1.43998902
467	1.437595881
468	1.434931246
469	1.432985181
470	1.430278507
471	1.428073047
472	1.424876082
473	1.422039409
474	1.419432455
475	1.416483397
476	1.413753369
477	1.41059234
478	1.407993716
479	1.405282295
480	1.402022497
481	1.398702193
482	1.395435375
483	1.392170402
484	1.390759174
485	1.387668564
486	1.384186916
487	1.381268573
488	1.379213045
489	1.376964497
490	1.373907075
491	1.371007031
492	1.36751473
493	1.363999839
494	1.361365737
495	1.357825023
496	1.355184109
497	1.352732561
498	1.349597985
499	1.347045103
500	1.345090069
501	1.342814343
502	1.340432598
503	1.337916482
504	1.336156984
505	1.333051969
506	1.329147435
507	1.326922929
508	1.325028692
509	1.321854373
510	1.318603466
511	1.3165132
512	1.313818026
513	1.311077752
514	1.307902283
515	1.30635724
516	1.303857416
517	1.300330529
518	1.298122948
519	1.294861814
520	1.29290468
521	1.290121205
522	1.287569225
523	1.285462717
524	1.283147761
525	1.281136316
526	1.278285592
527	1.274983205
528	1.272234238
529	1.26960423
530	1.267861852
531	1.264124253
532	1.261691235
533	1.259504044
534	1.257966741
535	1.254493013
536	1.251925564
537	1.249309229
538	1.246897252
539	1.244808956
540	1.242082342
541	1.240527053
542	1.238020916
543	1.234931665
544	1.23188164
545	1.229646418
546	1.22782436
547	1.22551908
548	1.222412244
549	1.219988313
550	1.217005034
551	1.214647704
552	1.21293614
553	1.210819305
554	1.208167892
555	1.20605157
556	1.204281727
557	1.201936873
558	1.199262067
559	1.196906293
560	1.194981732
561	1.193170153
562	1.190294517
563	1.186837741
564	1.184892824
565	1.182157903
566	1.179831294
567	1.177639332
568	1.174898801
569	1.172304108
570	1.170011921
571	1.167937122
572	1.164673949
573	1.162701243
574	1.159394254
575	1.157036963
576	1.153877828
577	1.151126624
578	1.148658601
579	1.145605594
580	1.142813744
581	1.141549
582	1.138914625
583	1.137283214
584	1.135267584
585	1.133285001
586	1.131272431
587	1.128753642
588	1.126453331
589	1.124585092
590	1.121775022
591	1.119546735
592	1.117300063
593	1.115697935
594	1.114060796
595	1.111302177
596	1.109383915
597	1.107487333
598	1.10584641
599	1.104176425
600	1.102664816
601	1.101058062
602	1.099213194
603	1.097217851
604	1.094953031
605	1.092353695
606	1.090874318
607	1.08846758
608	1.086151544
609	1.084285858
610	1.081755281
611	1.080196605
612	1.077548598
613	1.074342197
614	1.071903133
615	1.070407654
616	1.068212275
617	1.065204713
618	1.063629833
619	1.061098213
620	1.058790863
621	1.05698856
622	1.054987571
623	1.053104621
624	1.051342727
625	1.049112644
626	1.04651212
627	1.044210429
628	1.042223714
629	1.040390816
630	1.038901622
631	1.03698571
632	1.035133655
633	1.033128797
634	1.031501861
635	1.029526604
636	1.027775702
637	1.025664459
638	1.023881101
639	1.022175081
640	1.020054274
641	1.01778065
642	1.015763377
643	1.01399514
644	1.011901077
645	1.009511717
646	1.008368378
647	1.005899599
648	1.004198817
649	1.003284951
650	1.001459286
651	0.998842689
652	0.9961315537
653	0.9944010932
654	0.9933622256
655	0.9912823942
656	0.9900348304
657	0.9875315571
658	0.9859014412
659	0.9841275154
660	0.983307737
661	0.9815026935
662	0.9797708474
663	0.9781781356
664	0.9766144648
665	0.974718024
666	0.9734042047
667	0.971188197
668	0.9693940864
669	0.9680707068
670	0.9661307127
671	0.9641410966
672	0.962192808
673	0.9599757842
674	0.9579551056
675	0.9563417439
676	0.9536303795
677	0.9524411784
678	0.9507118548
679	0.9490609761
680	0.9477612604
681	0.9461244744
682	0.9442311993
683	0.9420768495
684	0.9405275508
685	0.9383031438
686	0.9363467136
687	0.934707986
688	0.9322423239
689	0.9303294617
690	0.9289862042
691	0.9275408989
692	0.9265535598
693	0.9255144774
694	0.9240631886
695	0.9222148212
696	0.9210699095
697	0.9196897526
698	0.9186334489
699	0.9165561079
700	0.9148359166
701	0.9129461143
702	0.9110984105
703	0.9093805826
704	0.9073019361
705	0.9062802716
706	0.9044725903
707	0.9024304423
708	0.9005921617
709	0.8994358597
710	0.8976635171
711	0.8955808201
712	0.8937818386
713	0.8927880047
714	0.8915572591
715	0.8905038761
716	0.8888215445
717	0.8868812256
718	0.8853357168
719	0.8838455704
720	0.8812765049
721	0.8795067112
722	0.8787762941
723	0.8773089787
724	0.8755827725
725	0.8742200091
726	0.8726151575
727	0.8709474977
728	0.8689198943
729	0.8673070627
730	0.8652742674
731	0.8634123956
732	0.8619139654
733	0.8605169244
734	0.8594772218
735	0.8577959149
736	0.8557136174
737	0.8536824431
738	0.851593544
739	0.8495904311
740	0.8485195004
741	0.8472991082
742	0.8460014241
743	0.8447759031
744	0.8427478672
745	0.84101025
746	0.8393288689
747	0.8374194991
748	0.8359129745
749	0.8345149239
750	0.8332944645
751	0.8312352274
752	0.8293188152
753	0.8276223644
754	0.826026605
755	0.8246756274
756	0.8229645842
757	0.8210874751
758	0.8202401011
759	0.8190192964
760	0.8171477319
761	0.8156219941
762	0.8139619484
763	0.8131563714
764	0.8120303533
765	0.8108284072
766	0.8089714231
767	0.8071220577
768	0.8056007774
769	0.8041476358
770	0.802368786
771	0.8010812757
772	0.7995336638
773	0.798809654
774	0.7970333612
775	0.7962633335
776	0.7949693589
777	0.7931017653
778	0.7921207119
779	0.7906439932
780	0.7892773494
781	0.7882404862
782	0.7862970745
783	0.7844814936
784	0.7827884121
785	0.7815051569
786	0.7802680191
787	0.7791788682
788	0.7774440541
789	0.7762912723
790	0.774882057
791	0.7735704979
792	0.7721057537
793	0.7707432482
794	0.7697277924
795	0.7683086979
796	0.7671209256
797	0.7656100967
798	0.7640495375
799	0.7630020183
800	0.7621943356
801	0.7602912295
802	0.7587161251
803	0.7580297536
804	0.7568441924
805	0.7553525845
806	0.7543655684
807	0.7525430442
808	0.7510460032
809	0.749846195
810	0.7484892213
811	0.7473516815
812	0.7457181531
813	0.7444033613
814	0.7430895085
815	0.7419074172
816	0.7406953392
817	0.7393827092
818	0.7379781575
819	0.7365581749
820	0.7356920769
821	0.7344782883
822	0.7334637122
823	0.7321128754
824	0.7307516794
825	0.7294868869
826	0.7282001947
827	0.7269329593
828	0.7261831017
829	0.7252544167
830	0.723845446
831	0.7230478849
832	0.7216556241
833	0.7202553178
834	0.7193744109
835	0.71826424
836	0.7167463096
837	0.7157712923
838	0.7144269024
839	0.7131034502
840	0.7118675425
841	0.7110275914
842	0.7092131055
843	0.7086704415
844	0.7069980498
845	0.7052985464
846	0.7040161643
847	0.7028683641
848	0.702003775
849	0.7013403715
850	0.6997215554
851	0.6985622646
852	0.697572778
853	0.6965187734
854	0.6950269434
855	0.6932861676
856	0.6924388556
857	0.691209711
858	0.6906267465
859	0.6897034032
860	0.6890643086
861	0.6880923995
862	0.6867869172
863	0.6852350623
864	0.6839427533
865	0.6827141527
866	0.6819225528
867	0.6808644353
868	0.6794782357
869	0.6788622178
870	0.6778118794
871	0.6761459865
872	0.674798881
873	0.6736481781
874	0.6721586507
875	0.6711359289
876	0.6699491752
877	0.6688555172
878	0.6679310508
879	0.6664417311
880	0.6649776071
881	0.6642977423
882	0.6627942365
883	0.6619057697
884	0.6608414816
885	0.6596673364
886	0.6587515835
887	0.6579153896
888	0.65674547
889	0.6555458153
890	0.654403237
891	0.6536291413
892	0.6525030342
893	0.6515084364
894	0.6508657662
895	0.650048621
896	0.6485923624
897	0.647347673
898	0.6461699795
899	0.6449251965
900	0.6439754451
901	0.6428622736
902	0.6417887567
903	0.6411674636
904	0.6401906691
905	0.6391693659
906	0.6381066133
907	0.6367718018
908	0.6360992845
909	0.634906282
910	0.6338579412
911	0.6325086433
912	0.6311282886
913	0.6300365269
914	0.6290826132
915	0.6283609523
916	0.6273736233
917	0.6262898038
918	0.6254349141
919	0.6244879907
920	0.6235643525
921	0.6230213068
922	0.6219867391
923	0.6213596805
924	0.6204835149
925	0.61943669
926	0.6186255924
927	0.6176342651
928	0.6161419174
929	0.6150938592
930	0.6144547411
931	0.6137590902
932	0.6127054938
933	0.6116407096
934	0.6108643643
935	0.6102295259
936	0.6090347673
937	0.6077263163
938	0.6066917713
939	0.6057657513
940	0.6046528996
941	0.6038564308
942	0.6025625674
943	0.6019031658
944	0.6010457381
945	0.6001573774
946	0.5994894174
947	0.5984853084
948	0.5972247459
949	0.5960213273
950	0.595119852
951	0.5942773579
952	0.5933002466
953	0.5924243415
954	0.5912507238
955	0.5902081492
956	0.5892685528
957	0.5883896166
958	0.5875552023
959	0.58681594
960	0.5860659217
961	0.5853592448
962	0.5847824748
963	0.5834927445
964	0.5823650431
965	0.5815061846
966	0.5803578284
967	0.5796113502
968	0.5784614462
969	0.577282129
970	0.5765807635
971	0.5756052977
972	0.5746863136
973	0.5739134558
974	0.5730218915
975	0.5718281627
976	0.570901022
977	0.570138611
978	0.5689159327
979	0.5679194294
980	0.5670813852
981	0.566289115
982	0.5653640489
983	0.5644781704
984	0.5633261733
985	0.5625868006
986	0.5619307377
987	0.5613761739
988	0.5602532293
989	0.5592886027
990	0.5584690046
991	0.5576856836
992	0.5570215899
993	0.5559889883
994	0.5549300368
995	0.5541603995
996	0.5535300775
997	0.552663102
998	0.5516173056
999	0.5509807407
